"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"105",5,35,1,0,0,0,1041,0,0,1775
"106",5.2,23,1,0,0,0,2191,0,0,955
"107",5,40,1,0,0,0,1902,0,0,2178
"108",5.1,27,1,0,0,0,834,0,0,1163
"109",5.3,40,1,0,0,0,1699,0,0,2062
"110",5.1,42,1,0,0,0,1768,0,0,2129
"111",4.9,22,1,0,0,0,1903,0,0,960
"112",5.5,27,1,0,0,0,1230,0,0,1082
"113",2.7,24,1,0,0,0,2126,0,0,2320
"114",5,34,1,0,0,0,979,0,0,1744
"115",3.8,26,1,0,0,0,1270,0,0,1878
"116",4.9,31,1,0,0,0,653,0,0,1586
"117",4.8,23,1,0,0,0,1150,0,0,996
"118",5.2,23,1,0,0,0,2541,0,0,912
"119",2.8,24,1,0,0,0,1967,0,0,2233
"120",3.9,23,1,0,0,0,18,0,0,1312
"121",4.9,24,1,0,0,0,820,0,0,1107
"122",5.1,50,1,0,0,0,2151,0,0,2346
"123",4.4,38,1,0,0,0,1952,0,0,2219
"124",4.6,41,1,0,0,0,2047,0,0,2241
"125",3.9,37,1,0,0,0,2121,0,0,2295
"126",6,31,1,0,0,0,1028,0,0,1124
"127",4.4,33,1,0,0,0,1518,0,0,1994
"128",5.7,59,1,0,0,0,2186,0,0,2364
"129",4.4,42,1,0,0,0,2172,0,0,2347
"130",3.9,31,1,0,0,0,1511,0,0,1926
"131",5,44,1,0,0,0,1688,0,0,2093
"132",5.4,38,1,0,0,0,999,0,0,1729
"133",4.8,30,1,0,0,0,588,0,0,1511
"134",4.5,45,1,0,0,0,2160,0,0,2368
"135",4.4,21,1,0,0,0,998,0,0,1042
"136",5,24,1,0,0,0,1225,0,0,1008
"137",4.9,46,1,0,0,0,2148,0,0,2375
"138",5.9,22,1,0,0,0,4075,0,0,797
"139",4.3,23,1,0,0,0,271,0,0,1250
"140",3.9,23,1,0,0,0,292,0,0,1403
"141",3.7,22,1,0,0,0,674,0,0,1467
"142",5.7,34,1,0,0,0,622,0,0,1204
"143",5.5,39,1,0,0,0,1016,0,0,1711
"144",5.5,42,1,0,0,0,1380,0,0,1907
"145",5.9,35,1,0,0,0,179,0,0,1434
"146",3.7,26,1,0,0,0,998,0,0,1704
"147",4,23,1,0,0,0,152,0,0,1311
"148",4.9,46,1,0,0,0,2149,0,0,2311
"149",5.6,51,1,0,0,0,2003,0,0,2252
"150",2.9,25,1,0,0,0,2080,0,0,2267
"151",6,39,1,0,0,0,473,0,0,1483
"152",3.2,23,1,0,0,0,1363,0,0,1805
"153",5.4,40,1,0,0,0,1549,0,0,1987
"154",4.5,31,1,0,0,0,1119,0,0,1746
"155",3.3,30,1,0,0,0,2107,0,0,2318
"156",5.7,30,1,0,0,0,1026,0,0,1141
"157",3.8,30,1,0,0,0,1623,0,0,2001
"158",4.3,23,1,0,0,0,530,0,0,1179
"159",4.8,24,1,0,0,0,1065,0,0,985
"160",3.3,28,1,0,0,0,1818,0,0,2091
"161",5.7,50,1,0,0,0,1981,0,0,2242
"162",5.8,39,1,0,0,0,630,0,0,1580
"163",5.9,51,1,0,0,0,1804,0,0,2196
"164",5.6,23,1,0,0,0,2656,0,0,892
"165",4.9,26,1,0,0,0,766,0,0,1094
"166",5.2,32,1,0,0,0,495,0,0,1499
"167",4.7,37,1,0,0,0,1577,0,0,1985
"168",5.6,44,1,0,0,0,1401,0,0,1952
"169",5.1,39,1,0,0,0,1271,0,0,1839
"170",5.1,46,1,0,0,0,1961,0,0,2216
"171",4.9,26,1,0,0,0,328,0,0,1232
"172",4.9,33,1,0,0,0,715,0,0,1549
"173",3.8,26,1,0,0,0,1177,0,0,1712
"174",5.9,30,1,0,0,0,592,0,0,1169
"175",4.4,39,1,0,0,0,2116,0,0,2308
"176",5.2,24,1,0,0,0,1550,0,0,991
"177",5.3,49,1,0,0,0,1885,0,0,2169
"178",4.5,22,1,0,0,0,776,0,0,1067
"179",5.8,52,1,0,0,0,2109,0,0,2288
"180",5.3,48,1,0,0,0,1989,0,0,2247
"181",3.6,21,1,0,0,0,717,0,0,1503
"182",5.4,26,1,0,0,0,896,0,0,1034
"183",5.3,47,1,0,0,0,1934,0,0,2184
"184",5.9,48,1,0,0,0,1838,0,0,2148
"185",3.3,24,1,0,0,0,1586,0,0,1957
"186",5.7,36,1,0,0,0,468,0,0,1500
"187",4.6,21,1,0,0,0,1565,0,0,990
"188",3.5,27,1,0,0,0,1499,0,0,1926
"189",4.2,32,1,0,0,0,1572,0,0,1954
"190",4.5,38,1,0,0,0,1903,0,0,2204
"191",4.3,35,1,0,0,0,1526,0,0,1994
"192",5.1,33,1,0,0,0,636,0,0,1596
"193",4.7,24,1,0,0,0,540,0,0,1117
"194",4.6,33,1,0,0,0,1265,0,0,1868
"195",4.6,28,1,0,0,0,440,0,0,1436
"196",3.9,27,1,0,0,0,1391,0,0,1866
"197",4.2,39,1,0,0,0,2009,0,0,2260
"198",5.9,51,1,0,0,0,2000,0,0,2262
"199",3.7,32,1,0,0,0,2020,0,0,2228
"200",4.4,32,1,0,0,0,1358,0,0,1914
